"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C302,C305","5","10n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","3p","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","10n","","","","",""
"C6,C306","2","100n","","","","",""
"C303","1","22p","","","","Capacitor_SMD:C_0805_2012Metric",""
"C304","1","1n","","","","Capacitor_SMD:C_0805_2012Metric",""
"D301,D302","2","D_Schottky","","","","Diode_SMD:D_0805_2012Metric",""
"J1","1","DE9_Pins_MountingHoles","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",""
"JP1","1","Jumper_2_Small_Bridged","","","","",""
"R1,R2,R4,R302","4","50","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","2.5k","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","1","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R6","1","300","","","","Resistor_SMD:R_0805_2012Metric",""
"R7","1","150k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","30","","","","",""
"R9,R300","2","10k","","","","",""
"R301","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","MICROFC-60035-SMT-TR1","","","","micro:XDCR_MICROFC-60035-SMT-TR1",""
"U2","1","LT1807","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"U3","1","ADCMP601","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"U4","1","OPA365","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""
"U5","1","TS12A4514DBVR","","","","TS12A4514DBVR:SOT95P280X145-5N",""
